Nome, Matrícula, Primeira nota, Segunda nota
Daniel, 123, 10, 10
Daniel, 123, 10, 10
Daniel, 123, 10, 10
Daniel, 123, 10, 10
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Daniel, 2323, 10, 10
Daniel, 2323, 10, 10
Daniel, 2323, 10, 10
Daniel, 2323, 10, 10
Daniel, 2323, 10, 10
Daniel, 2323, 10, 10
Daniel, 2323, 10, 10
Daniel, 2323, 10, 10
Daniel, 2323, 10, 10
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
Rogério, 231, 8, 9
